LONGITUDE,LAT,LABEL,NAME,Substation,PrimaryFee,PrimaySubs,County,InternalSb,CustomersS,PhysicalLo
35.93330528,0.119822222,102212 - THE LORDS RANJUERA P,102212 - THE LORDS RANJUERA P,102212,UNIVERSITY FEEDER EX KABARAK,KABARAK 33/11 SUBSTATION,Nakuru,300674742,6,KAMPI YA MOTO
35.67745111,0.50043,102213 - CHEROKIET PRIMARY SC,102213 - CHEROKIET PRIMARY SC,102213,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300674743,3,cherokiet pry school
35.64688056,0.467287556,102214 - TEGAT PRIMARY SCHOOL,102214 - TEGAT PRIMARY SCHOOL,102214,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300674744,0,tegat pry school
35.66641028,0.448270278,102215 - KAPKORES PRIMARY SCH,102215 - KAPKORES PRIMARY SCH,102215,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300674745,3,Kapkores Pry school
35.60158964,0.407855833,102217 - ST PAUL BORON SECOND,102217 - ST PAUL BORON SECOND,102217,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300674747,0,st paul boron secondary schoo
35.56397083,0.416684,102218 - BANANA PRIMARY SCHOOL,102218 - BANANA PRIMARY SCHOOL,102218,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300674748,3,banana primary school
35.54341639,0.479999167,102219 - KABONGOI PRIMARY SCH,102219 - KABONGOI PRIMARY SCH,102219,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300674749,0,kabongoi primary school
35.63224778,0.39498,102221 - MATUNDA PRIMARY SCHO,102221 - MATUNDA PRIMARY SCHO,102221,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300674751,0,matunda primary school
35.69594306,0.392778056,102222 - KAPTELET PRIMARY SCH,102222 - KAPTELET PRIMARY SCH,102222,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300674752,0,kaplele primary school
35.67609417,0.380000556,102223 - SEGUTON PRIMARY SCHO,102223 - SEGUTON PRIMARY SCHO,102223,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300674753,0,seguton primary school
